athlete_url,medal_years,dob,birth_city,height_cm,weight_kg,affiliations
https://www.olympedia.org/athletes/109893,"2010, 2014",1982-12-26,"Lørenskog, Viken",189,100,"NeRo Alpin, Skedsmokorset (NOR)"
https://www.olympedia.org/athletes/118320,"2010, 2014",1986-02-10,"Saranac Lake, New York",170,86,"New York Ski Education Foundation, United States / Dartmouth"
https://www.olympedia.org/athletes/99516,"2010, 2014",1977-10-12,"Easton, New Hampshire",188,91,USSA/Franconia Ski Club
