athleteName,athleteURL,country
Kristina Groves,https://www.olympedia.org/athletes/100968,CAN
Stephanie Beckert,https://www.olympedia.org/athletes/119729,GER
Clara Hughes,https://www.olympedia.org/athletes/13139,CAN
Andrew Weibrecht,https://www.olympedia.org/athletes/118320,USA
Jan Hudec,https://www.olympedia.org/athletes/118382,CANUSA
Bode Miller,https://www.olympedia.org/athletes/99516,CANUSA
Ted Ligety,https://www.olympedia.org/athletes/110095,USA
Steve Missillier,https://www.olympedia.org/athletes/118473,FRA
Mario Matt,https://www.olympedia.org/athletes/110092,AUT
Sandro Viletta,https://www.olympedia.org/athletes/118461,SUI
Ivica Kostelić,https://www.olympedia.org/athletes/101791,CRO
Christof Innerhofer,https://www.olympedia.org/athletes/118341,ITA
Dominique Gisin,https://www.olympedia.org/athletes/118351,SLOSUI
Tina Maze,https://www.olympedia.org/athletes/101833,SLO
Viktoria Rebensburg,https://www.olympedia.org/athletes/118487,GER
Marlies Schild,https://www.olympedia.org/athletes/101739,AUT
Kathrin Zettel,https://www.olympedia.org/athletes/110674,AUT
Maria Höfl-Riesch,https://www.olympedia.org/athletes/118418,GER
Nicole Hosp,https://www.olympedia.org/athletes/110675,AUT
Julia Mancuso,https://www.olympedia.org/athletes/101440,USA
Ole Einar Bjørndalen,https://www.olympedia.org/athletes/84154,NOR
Jaroslav Soukup,https://www.olympedia.org/athletes/118526,CZE
Jean-Guillaume Béatrix,https://www.olympedia.org/athletes/127716,FRA
Ondřej Moravec,https://www.olympedia.org/athletes/110111,CZE
Erik Lesser,https://www.olympedia.org/athletes/127808,GER
Yevgeny Garanichev,https://www.olympedia.org/athletes/128305,RUS
Olga Vilukhina,https://www.olympedia.org/athletes/128304,RUS
Vita Semerenko,https://www.olympedia.org/athletes/118600,UKR
Tora Berger,https://www.olympedia.org/athletes/110008,NOR
Teja Gregorin,https://www.olympedia.org/athletes/101452,SLO
Gabriela Soukalová,https://www.olympedia.org/athletes/118522,CZE
Selina Gasparin,https://www.olympedia.org/athletes/118578,SUI
Nadzeya Skardzina,https://www.olympedia.org/athletes/118564,BLR
Ola Vigen Hattestad,https://www.olympedia.org/athletes/110932,NOR
Teodor Peterson,https://www.olympedia.org/athletes/119956,SWE
Emil Jönsson,https://www.olympedia.org/athletes/118779,SWE
Johan Olsson,https://www.olympedia.org/athletes/109824,SWE
Daniel Rickardsson,https://www.olympedia.org/athletes/118751,SWE
Aleksandr Legkov,https://www.olympedia.org/athletes/109828,RUS
Maksim Vylegzhanin,https://www.olympedia.org/athletes/118800,RUS
Ilya Chernousov,https://www.olympedia.org/athletes/128326,RUS
Marcus Hellner,https://www.olympedia.org/athletes/118802,SWE
Ingvild Flugstad Østberg,https://www.olympedia.org/athletes/128189,NOR
Vesna Fabjan,https://www.olympedia.org/athletes/110057,SLO
Justyna Kowalczyk,https://www.olympedia.org/athletes/109782,POL
Kristin Størmer Steira,https://www.olympedia.org/athletes/109781,NOR
Patrick Chan,https://www.olympedia.org/athletes/119113,CAN
Denis Ten,https://www.olympedia.org/athletes/119072,KAZ
Adelina Sotnikova,https://www.olympedia.org/athletes/128354,RUS
Yu-Na Kim,https://www.olympedia.org/athletes/119090,KOR
Carolina Kostner,https://www.olympedia.org/athletes/110867,ITA
Alex Bilodeau,https://www.olympedia.org/athletes/110335,CAN
Aleksandr Smyshlyayev,https://www.olympedia.org/athletes/110338,RUS
Anton Kushnir,https://www.olympedia.org/athletes/110847,BLR
David Morris,https://www.olympedia.org/athletes/118963,AUS
Jean-Frédéric Chapuis,https://www.olympedia.org/athletes/127746,FRA
Arnaud Bovolenta,https://www.olympedia.org/athletes/127744,FRA
Jonathan Midol,https://www.olympedia.org/athletes/127749,FRA
Mike Riddle,https://www.olympedia.org/athletes/127475,CAN
Kévin Rolland,https://www.olympedia.org/athletes/127751,FRA
Joss Christensen,https://www.olympedia.org/athletes/128709,USA
Gus Kenworthy,https://www.olympedia.org/athletes/128712,USA
Chloé Dufour-Lapointe,https://www.olympedia.org/athletes/118955,CAN
Hannah Kearney,https://www.olympedia.org/athletes/109660,USA
Ala Tsuper,https://www.olympedia.org/athletes/99816,BLR
Lydia Lassila,https://www.olympedia.org/athletes/101581,AUS
Anna Holmlund,https://www.olympedia.org/athletes/118941,SWE
Maddie Bowman,https://www.olympedia.org/athletes/128697,USA
Ayana Onozuka,https://www.olympedia.org/athletes/127983,JPN
Dara Howell,https://www.olympedia.org/athletes/127460,CAN
Devin Logan,https://www.olympedia.org/athletes/128702,USA
Kim Lamarre,https://www.olympedia.org/athletes/127461,CAN
Felix Loch,https://www.olympedia.org/athletes/119431,GER
Albert Demchenko,https://www.olympedia.org/athletes/85156,RUS
Armin Zöggeler,https://www.olympedia.org/athletes/99296,ITA
Tatjana Hüfner,https://www.olympedia.org/athletes/109947,GER
Erin Hamlin,https://www.olympedia.org/athletes/109957,USA
Magnus Krog,https://www.olympedia.org/athletes/128221,NOR
Magnus Moan,https://www.olympedia.org/athletes/109614,NOR
Charle Cournoyer,https://www.olympedia.org/athletes/127545,CAN
Vladimir Grigoryev,https://www.olympedia.org/athletes/101567,RUS
Charles Hamelin,https://www.olympedia.org/athletes/109918,CAN
Han Tianyu,https://www.olympedia.org/athletes/127578,CHN
Viktor An,https://www.olympedia.org/athletes/101557,RUS
Li Jianrou,https://www.olympedia.org/athletes/127575,CHN
Park Seung-Hui,https://www.olympedia.org/athletes/119791,KOR
Fan Kexin,https://www.olympedia.org/athletes/127574,CHN
Zhou Yang,https://www.olympedia.org/athletes/119816,CHN
Sim Seok-Hui,https://www.olympedia.org/athletes/128111,KOR
Aleksandr Tretyakov,https://www.olympedia.org/athletes/110442,RUS
Martins Dukurs,https://www.olympedia.org/athletes/111080,LAT
Matt Antoine,https://www.olympedia.org/athletes/128757,USA
Noelle Pikus-Pace,https://www.olympedia.org/athletes/119507,USA
Yelena Nikitina,https://www.olympedia.org/athletes/128384,RUS
Anders Bardal,https://www.olympedia.org/athletes/101142,NOR
Noriaki Kasai,https://www.olympedia.org/athletes/87815,JPN
Peter Prevc,https://www.olympedia.org/athletes/119539,SLO
Carina Vogt,https://www.olympedia.org/athletes/127863,GER
Daniela Iraschko-Stolz,https://www.olympedia.org/athletes/127376,AUT
Coline Mattel,https://www.olympedia.org/athletes/127760,FRA
Sage Kotsenburg,https://www.olympedia.org/athletes/128775,USA
Ståle Sandbech,https://www.olympedia.org/athletes/119632,NOR
Iouri Podladtchikov,https://www.olympedia.org/athletes/109886,SUI
Taku Hiraoka,https://www.olympedia.org/athletes/128022,JPN
Nikolay Olyunin,https://www.olympedia.org/athletes/128396,RUS
Alex Deibold,https://www.olympedia.org/athletes/128771,USA
Patrizia Kummer,https://www.olympedia.org/athletes/128534,SUI
Tomoka Takeuchi,https://www.olympedia.org/athletes/101487,JPN
Alyona Zavarzina,https://www.olympedia.org/athletes/119555,RUS
Julia Dujmovits,https://www.olympedia.org/athletes/127379,AUT
Anke Karstens,https://www.olympedia.org/athletes/119556,GER
Amelie Kober,https://www.olympedia.org/athletes/110974,GER
Jenny Jones,https://www.olympedia.org/athletes/127794,GBR
Kaitlyn Farrington,https://www.olympedia.org/athletes/128764,USA
Torah Bright,https://www.olympedia.org/athletes/109992,AUS
Kelly Clark,https://www.olympedia.org/athletes/101100,USA
Dominique Maltais,https://www.olympedia.org/athletes/110951,CAN
Jan Smeekens,https://www.olympedia.org/athletes/119677,NED
Ronald Mulder,https://www.olympedia.org/athletes/119647,NED
Stefan Groothuis,https://www.olympedia.org/athletes/110740,NED
Michel Mulder,https://www.olympedia.org/athletes/128172,NED
Zbigniew Bródka,https://www.olympedia.org/athletes/119745,POL
Denny Morrison,https://www.olympedia.org/athletes/110381,CAN
Jan Blokhuijsen,https://www.olympedia.org/athletes/119645,NED
Bob de Jong,https://www.olympedia.org/athletes/99379,NED
Olga Fatkulina,https://www.olympedia.org/athletes/119710,RUS
Zhang Hong,https://www.olympedia.org/athletes/127569,CHN
Margot Boer,https://www.olympedia.org/athletes/119697,NED
Lotte van Beek,https://www.olympedia.org/athletes/128169,NED
Olga Graf,https://www.olympedia.org/athletes/128403,RUS
Carien Kleibeuker,https://www.olympedia.org/athletes/111028,NED
Aksel Lund Svindal,https://www.olympedia.org/athletes/109893,NOR
Kjetil Jansrud,https://www.olympedia.org/athletes/110097,NOR
André Myhrer,https://www.olympedia.org/athletes/111031,SWE
Ramon Zenhäusern,https://www.olympedia.org/athletes/128464,SUI
Michael Matt,https://www.olympedia.org/athletes/136706,AUT
Marcel Hirscher,https://www.olympedia.org/athletes/118416,AUT
Alexis Pinturault,https://www.olympedia.org/athletes/127712,FRA
Victor Muffat-Jeandet,https://www.olympedia.org/athletes/137161,FRA
Lindsey Vonn,https://www.olympedia.org/athletes/101437,USA
Anna Veith,https://www.olympedia.org/athletes/118325,AUT
Tina Weirather,https://www.olympedia.org/athletes/110344,LIE
Ragnhild Mowinckel,https://www.olympedia.org/athletes/128179,NOR
Frida Hansdotter,https://www.olympedia.org/athletes/118364,SWE
Katharina Gallhuber,https://www.olympedia.org/athletes/136696,AUT
Arnd Peiffer,https://www.olympedia.org/athletes/118509,GER
Michal Krčmář,https://www.olympedia.org/athletes/127594,CZE
